"축제명",개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
"오수의견문화제",오수의견관광지,2017-05-04,2017-05-07,김개인 탄생지 기념행사의견의 밤 축하콘서트 및 가요제 등,임실군,오수의견문화전승회,,,,,전라북도 임실군 오수면 충효로 2096-16,전라북도 임실군 오수면 오수리 33,35.3242733,127.1957640,2017-08-29
"필봉마을굿축제",필봉문화촌,2018-08-11,2018-08-14,"추모제, 대동판굿 등",임실군,필봉농악보존회,,063-640-2901,www.pilbong.co.kr,-,전라북도 임실군 강진면 강운로 272,전라북도 임실군 강진면 필봉리 88-1,35.3213180,127.0915676,2017-08-29
"소충사선문화제",관촌사선대,2017-09-27,2017-10-01,"사선녀 선발 전국대회, 호남좌도농악 전국경연대회 등",임실군,소충사선문화제전위원회,,063-643-3988,,,전라북도 임실군 관촌면 사선2길 68-7,전라북도 임실군 관촌면 관촌리 222,35.4020523,127.1628636,2017-08-29
"장수 한우랑 사과랑 축제",전라북도 장수군 의암공원 일원,2017-09-22,2017-09-24,"장수한우마당, 주제관,Red칼라를 테마로 한 체험 프로그램 등",사)장수한우랑사과랑축제추진위원회,장수군,전라북도,063-350-5447,http://www.jangsufestival.com,장수 한우랑 사과랑 축제,전라북도 장수군 장수읍 한누리로 393,전라북도 장수군 장수읍 두산리 472,35.3828010,127.3105197,2017-08-29
"무주산골영화제",무주군일원,2017-06-02,2017-06-06,영화상영,무주산골영화제 조직위원회,무주산골영화제 집행위원회,,063-320-2547,http://www.mjff.or.kr,,전라북도 무주군 무주읍 한풍루로 326-14,전라북도 무주군 무주읍 당산리 1118,36.0009434,127.3941366,2017-08-29
"수박축제",동형면 체련공원 일원,2017-08-05,2017-08-06,"숙박빨리먹기대회, 수박왕 선발 대회, 수박물놀이 체험,등",동향면체육회/수박축제추진위원회,진안군,,063-430-8247,http://tour.jinan.go.kr/,,전라북도 진안군 동향면 능금리 2194,전라북도 진안군 동향면 능금리 2194,35.5028849,127.3431445,2017-08-29
"반딧불축제",예체문화관,2017-08-26,2017-09-03,"반딧불이 신비탐사, 낙화놀이 반딧불이를 테마로 한 공연, 전시, 체험 프로그램 등",사)무주반딧불축제제전위원회,무주군,문화체육관광부 외 74개단체,063-320-2537,http://www.firefly.or.kr,"전통공예체험전시관, 무주향교",전라북도 무주군 무주읍 한풍루로 326-17,전라북도 무주군 무주읍 당산리 1199-3,36.0008499,127.3945103,2017-08-29
"익산평생학습축제",배산체육공원,2017-09-22,2017-09-23,"평생학습 홍보체험관, 문해시화전 등",익산시,한국공연문화예술연구소,익산시,063-859-5155,,평생학습을 진흥하기 위해 평생학습에 대한 시민의 이해를 돕고스스로 학습하고자 하는 의욕을 고취,전라북도 익산시 동서로 21,전라북도 익산시 모현동2가 186-1,35.5741898,126.5628600,2017-08-29
"천만송이 축화축제",중앙체육공원,2017-10-27,2017-11-05,"국화 전시, 로컬푸드 판매장, 주제공연 및 문화공연, 체험프로그램 운영",익산시,농업기술센터,익산시,063-859-4984,http://gukhwa.iksan.go.kr,,전라북도 익산시 하나로 322,전라북도 익산시 어양동 52,35.5658314,126.5908489,2017-08-29
"서동축제",중앙체육공원,2017-05-12,2017-05-14,"무왕제례, 무왕즉위행차 퍼레이드 서동선발대회, 서동가면무도회, 서동마캐기 체험 등",(재)문화재단,(재)문화재단,익산시,063-859-5874,seodong.iksan.go.Kr,"서동축제 기간에 국화축제와 병행하여 축제실시 세계유산으로등재된 백제유적지구인 미륵사지, 왕궁리유적지",전라북도 익산시 하나로 322,전라북도 익산시 어양동 52,35.5658314,126.5908489,2017-08-29
"전주국제발효식품엑스포",전주월드컵경기장,2017-10-19,2017-10-23,해외발효식품 전시 등,전주국제발효식품엑스포조직위원회,"전라북도, 전라북도 전주시","농림축산식품부, 산업통상자원부, 식품의약품안전처, 국립농산물품질관리원, 한국식품연구원, 전라북도생물산업진흥원",063-272-6998,http://www.iffe.or.kr/,"한지박물관, 덕진공원, 동물원",전라북도 전주시 덕진구 기린대로 418,전라북도 전주시 덕진구 금암1동 710-5,35.8389558,127.1309120,2017-08-29
"전주대사습놀이전국대회","한옥마을,한국전통문화전당일원",2017-09-08,2017-09-11,국악 경연,전주대사습놀이조직위원회,전주시,"문화관광체육부, 전라북도",063-281-2680,http://www.jjdss.or.kr,"전주대사습놀이유래, 대회안내, 보존회 현황",전라북도 전주시 덕진구 권삼득로 400,전라북도 전주시 덕진구 덕진동2가 184-1,35.8490089,127.1196400,2017-08-29
"전주세계소리축제",한국소리문화의전당,2017-09-20,2017-09-24,음악 축제,전주세계소리축제조직위원회,전라북도,문화체육관광부,063-232-8398,http://www.sorifestival.com,"소리축제 프로그램 정보, 티켓안내 등",전라북도 전주시 완산구 소리로 31,전라북도 전주시 덕진구 덕진동1가 산1-1,35.8239265,127.1315694,2017-08-29
"전주단오축제",덕진공원,2017-05-30,2017-05-31,"세계민속춤페스티벌, 민속놀이경연대회 등",풍남문화법인,전라북도 전주시,전라북도,063-277-2515,http://www.pncc.or.kr,"한지산업지원센터, 한옥마을, 객사, 덕진공원",전라북도 전주시 덕진구 기린대로 451,전라북도 전주시 덕진구 덕진동1가 1220-1,35.8382201,127.1251620,2017-08-29
"전주국제영화제",영화의거리(메가박스) 외 4개소,2017-04-27,2017-05-06,영화상영,전주국제영화제집행위원회,전주국제영화제집행위원회,"문화체육관광부, 전라북도, 전주시, 영화진흥위원회",063-280-7914,,"한지산업지원센터, 한옥마을, 객사, 덕진공원",전라북도 전주시 완산구 전주객사4길 74-12,전라북도 전주시 완산구 고사동 181,35.8208219,127.1436470,2017-08-29
"진안군 마을축제- 마을을 만나다 -",진안군 일원,2017-02-11,2017-11-04,"두부만들기, 전통문화체험 등 마을별 농촌체험",진안군마을축제 조직위원회,진안군,,063-430-2842,www.jinanmaeul.kr,,전라북도 진안군 진안읍 중앙로 67,전라북도 진안군 진안읍 군하리 97-4,35.4730719,127.2528784,2017-08-29
"진안 원연장꽃잔디축제",진안읍 원연장 꽃잔디 동산,2017-04-21,2017-04-23,"꽃잔디 사진전시 및 경연대회꽃잔디를 테마로 한 문화,전시,체험프로그램",원연장마을축제조직위원회,원연장마을,진안군,063-430-2326,www.moss-pink.com,,전라북도 진안군 진안읍 연장리 산23-1,전라북도 진안군 진안읍 연장리 산23-1,35.4653068,127.2349173,2017-08-29
"진안 운장산 고로쇠축제",주천면 삼거광장,2017-04-21,2017-03-12,"고로쇠 체험, 판매 등",진안운장산고로쇠축제위원회,진안운장산고로쇠축제위원회,진안군,063-430-8391,http://tour.jinan.go.kr/,,전라북도 진안군 주천면 대불리 75-1,전라북도 진안군 주천면 대불리 75-1,35.5901955,127.2317866,2017-08-29
"김제지평선축제",김제 벽골제,2017-09-20,2017-09-24,"벽골제 전설 쌍룡놀이, 풍년기원 입석 줄다리기, 농경문화를 테마로 한 공연, 체험 프로그램 등",김제시지평선축제제전위원회,김제시,,063-540-3036,http://festival.gimje.go.kr,,전라북도 김제시 부량면 신용리 222-2,전라북도 김제시 부량면 신용리 222-2,35.4514572,126.5114774,2017-08-29
"전주비빔밥축제",한국전통문화전당,2017-10-26,2017-10-29,"우리동네 맛자랑 비빔 퍼포먼스 이색 런치 맛있는 정원, 고메쇼,체험및 공연 등",비빔밥축제조직위원회,전라북도 전주시,문화체육관광부,063-277-2515,http://www.bibimbapfest.com/,"한지산업지원센터, 한옥마을, 객사, 덕진공원",전라북도 전주시 완산구 현무1길 20,전라북도 전주시 완산구 경원동3가 14-2,35.8206764,127.1482821,2017-08-29
"황토현동학농민혁명기념제",황토현전적지,2017-05-12,2017-05-14,"기념식, 동학대상 청소년축전, 신만민공동회, 체험프로그램 운영 등",(사)동학농민혁명계승사업회,정읍시,,063-533-9182,,,전라북도 정읍시 벚꽃로 171,전라북도 정읍시 연지동 535,35.5732510,126.8352730,2017-08-29
"정읍사문화제",정읍사문화공원,2017-10-20,2017-10-22,"거리퍼레이드, 오솔길걷기, 소원등달기 등",(사)정읍사문화제제전위원회,정읍시,,063-532-8880,,정읍민속소싸움대회(2015-10.29~11-02),전라북도 정읍시 충정로 253-23,전라북도 정읍시 수성동 607-6,35.5691800,126.8533250,2017-08-29
"전주한지문화축제",한국전통문화전당 일원,2017-05-17,2017-05-21,"전주한지패션대전,한미교류전 등","전주시, 전주한지문화축제조직위원회","전라북도 전주시, 전주한지문화축제조직위원회",,063-271-2503,http://www.jhanji.or.kr,"한지산업지원센터, 한옥마을, 객사, 덕진공원",전라북도 전주시 완산구 현무1길 20,전라북도 전주시 완산구 경원동3가 14-2,35.8206764,127.1482821,2017-08-29
